player_name,standardized_club
Eddie Johnson,Fulham
Björn Helge Riise,Fulham
Kagisho Dikgacoi,Fulham
Diomansy Kamara,Fulham
Bruno Luz,Fulham
Chris Smalling,Fulham
Paul Konchesky,Fulham
Bruno Luz,Fulham
Michael Uwezu,Fulham
Elliot Omozusi,Fulham
Toni Kallio,Fulham
Stefan Payne,Fulham
Wayne Brown,Fulham
Erik Nevland,Fulham
Andranik Teymourian,Fulham
King Gyan,Fulham
Jonathan Greening,Fulham
Gaël Kakuta,Fulham
Stefano Okaka,Fulham
Cheik Tioté,Newcastle United
Hatem Ben Arfa,Newcastle United
James Perch,Newcastle United
Dan Gosling,Newcastle United
Sol Campbell,Newcastle United
Stephen Folan,Newcastle United
Fraser Forster,Newcastle United
Wayne Routledge,Newcastle United
Ben Tozer,Newcastle United
Xisco,Newcastle United
Fabio Zamblera,Newcastle United
Fraser Forster,Newcastle United
Kazenga LuaLua,Newcastle United
Ben Tozer,Newcastle United
Nicky Butt,Newcastle United
Fabrice Pancrate,Newcastle United
Jonny Godsmark,Newcastle United
Wesley Ngo Baheng,Newcastle United
Stephen Ireland,Newcastle United
Fitz Hall,Newcastle United
Ramires,Chelsea
Yossi Benayoun,Chelsea
Tomas Kalas,Chelsea
Matej Delac,Chelsea
Josh McEachran,Chelsea
Michael Mancienne,Chelsea
Fabio Borini,Chelsea
Slobodan Rajkovic,Chelsea
Jeffrey Bruma,Chelsea
Daniel Sturridge,Chelsea
Patrick van Aanholt,Chelsea
Gaël Kakuta,Chelsea
Miroslav Stoch,Chelsea
Ricardo Carvalho,Chelsea
Miroslav Stoch,Chelsea
Franco Di Santo,Chelsea
Scott Sinclair,Chelsea
Juliano Belletti,Chelsea
Joe Cole,Chelsea
Michael Ballack,Chelsea
Deco,Chelsea
Michael Mancienne,Chelsea
Conor Clifford,Chelsea
Matej Delac,Chelsea
Nemanja Matic,Chelsea
Slobodan Rajkovic,Chelsea
Ryan Bertrand,Chelsea
Tomas Kalas,Chelsea
Steven Fletcher,Wolverhampton
Stephen Hunt,Wolverhampton
Jelle Van Damme,Wolverhampton
Steven Mouyokolo,Wolverhampton
Adlène Guédioura,Wolverhampton
Matt Doherty,Wolverhampton
Michael Mancienne,Wolverhampton
Marcus Bent,Wolverhampton
Jake Cassidy,Wolverhampton
Nathan Rooney,Wolverhampton
John Dunleavy,Wolverhampton
Ethan Ebanks-Landell,Wolverhampton
Andy Keogh,Wolverhampton
John Dunleavy,Wolverhampton
Sam Winnall,Wolverhampton
David Davis,Wolverhampton
Scott Malone,Wolverhampton
Greg Halford,Wolverhampton
David Davis,Wolverhampton
Andrew Surman,Wolverhampton
Jason Shackell,Wolverhampton
Chris Iwelumo,Wolverhampton
Matt Hill,Wolverhampton
Dan Jones,Wolverhampton
George Friend,Wolverhampton
Scott Malone,Wolverhampton
Stefan Maierhofer,Wolverhampton
Greg Halford,Wolverhampton
David Davis,Wolverhampton
Carl Ikeme,Wolverhampton
Andy Keogh,Wolverhampton
Sam Vokes,Wolverhampton
Matt Murray,Wolverhampton
Michael Mancienne,Wolverhampton
Segundo Castillo,Wolverhampton
Adlène Guédioura,Wolverhampton
Kenwyne Jones,Manchester City
Marc Wilson,Manchester City
Jonathan Walters,Manchester City
Eidur Gudjohnsen,Manchester City
Carlo Nash,Manchester City
Jermaine Pennant,Manchester City
Jack Harrison,Manchester City
Alex Hedley,Manchester City
Ben Marshall,Manchester City
Andy Griffin,Manchester City
Diego Arismendi,Manchester City
Carl Dickinson,Manchester City
Andrew Davies,Manchester City
Ibrahima Sonko,Manchester City
James Beattie,Manchester City
Andy Griffin,Manchester City
Warwick Alexander,Manchester City
Steve Simonsen,Manchester City
Amdy Fayé,Manchester City
Ibrahima Sonko,Manchester City
Louis Moult,Manchester City
Liam Lawrence,Manchester City
Diego Arismendi,Manchester City
Carl Dickinson,Manchester City
Ben Marshall,Manchester City
Dave Kitson,Manchester City
