Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Antonio Nusa,Antonio Nusa,"Norway, Nigeria",19,RB Leipzig,€28.00m,joueurs_images\Antonio_Nusa.jpg
Danilo,Danilo,Brazil,23,Nottingham Forest,€28.00m,joueurs_images\Danilo.jpg
Milos Kerkez,Milos Kerkez,"Hungary, Serbia",21,AFC Bournemouth,€28.00m,joueurs_images\Milos_Kerkez.jpg
Mohamed Simakan,Mohamed Simakan,"France, Guinea",24,Al-Nassr FC,€28.00m,joueurs_images\Mohamed_Simakan.jpg
Mario Gila,Mario Gila,Spain,24,SS Lazio,€28.00m,joueurs_images\Mario_Gila.jpg
Antoine Semenyo,Antoine Semenyo,"Ghana, England",25,AFC Bournemouth,€28.00m,joueurs_images\Antoine_Semenyo.jpg
Tomás Araújo,Tomás Araújo,Portugal,22,SL Benfica,€28.00m,joueurs_images\Tomás_Araújo.jpg
Josip Stanisic,Josip Stanisic,"Croatia, Germany",24,Bayern Munich,€28.00m,joueurs_images\Josip_Stanisic.jpg
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,England,26,Chelsea FC,€28.00m,joueurs_images\Kiernan_Dewsbury-Hall.jpg
David Neres,David Neres,Brazil,27,SSC Napoli,€28.00m,joueurs_images\David_Neres.jpg
Nathan Collins,Nathan Collins,Ireland,23,Brentford FC,€28.00m,joueurs_images\Nathan_Collins.jpg
Samuele Ricci,Samuele Ricci,Italy,23,Torino FC,€28.00m,joueurs_images\Samuele_Ricci.jpg
Benoît Badiashile,Benoît Badiashile,"France, DR Congo",23,Chelsea FC,€28.00m,joueurs_images\Benoît_Badiashile.jpg
Orkun Kökçü,Orkun Kökçü,"Türkiye, Netherlands",24,SL Benfica,€28.00m,joueurs_images\Orkun_Kökçü.jpg
Jakub Kiwior,Jakub Kiwior,Poland,25,Arsenal FC,€28.00m,joueurs_images\Jakub_Kiwior.jpg
Matty Cash,Matty Cash,"Poland, England",27,Aston Villa,€28.00m,joueurs_images\Matty_Cash.jpg
Felix Nmecha,Felix Nmecha,"Germany, England",24,Borussia Dortmund,€28.00m,joueurs_images\Felix_Nmecha.jpg
Vitaliy Mykolenko,Vitaliy Mykolenko,Ukraine,25,Everton FC,€28.00m,joueurs_images\Vitaliy_Mykolenko.jpg
Ferran Torres,Ferran Torres,Spain,24,FC Barcelona,€28.00m,joueurs_images\Ferran_Torres.jpg
Yoane Wissa,Yoane Wissa,"DR Congo, France",28,Brentford FC,€28.00m,joueurs_images\Yoane_Wissa.jpg
Ibrahim Sangaré,Ibrahim Sangaré,Cote d'Ivoire,27,Nottingham Forest,€28.00m,joueurs_images\Ibrahim_Sangaré.jpg
Antonee Robinson,Antonee Robinson,"United States, England",27,Fulham FC,€28.00m,joueurs_images\Antonee_Robinson.jpg
Joe Willock,Joe Willock,"England, Montserrat",25,Newcastle United,€28.00m,joueurs_images\Joe_Willock.jpg
Deniz Undav,Deniz Undav,"Germany, Türkiye",28,VfB Stuttgart,€28.00m,joueurs_images\Deniz_Undav.jpg
Ermedin Demirovic,Ermedin Demirovic,Bosnia-Herzegovina,26,VfB Stuttgart,€28.00m,joueurs_images\Ermedin_Demirovic.jpg
Donyell Malen,Donyell Malen,"Netherlands, Suriname",26,Aston Villa,€28.00m,joueurs_images\Donyell_Malen.jpg
Albert Gudmundsson,Albert Gudmundsson,Iceland,27,ACF Fiorentina,€28.00m,joueurs_images\Albert_Gudmundsson.jpg
Marcos Llorente,Marcos Llorente,Spain,30,Atlético de Madrid,€28.00m,joueurs_images\Marcos_Llorente.jpg
Manuel Locatelli,Manuel Locatelli,Italy,27,Juventus FC,€28.00m,joueurs_images\Manuel_Locatelli.jpg
Unai Simón,Unai Simón,Spain,27,Athletic Bilbao,€28.00m,joueurs_images\Unai_Simón.jpg
Joe Gomez,Joe Gomez,"England, The Gambia",27,Liverpool FC,€28.00m,joueurs_images\Joe_Gomez.jpg
Ivan Toney,Ivan Toney,"England, Jamaica",28,Al-Ahli SFC,€28.00m,joueurs_images\Ivan_Toney.jpg
Rúben Neves,Rúben Neves,Portugal,27,Al-Hilal SFC,€28.00m,joueurs_images\Rúben_Neves.jpg
Xaver Schlager,Xaver Schlager,Austria,27,RB Leipzig,€28.00m,joueurs_images\Xaver_Schlager.jpg
Stanislav Lobotka,Stanislav Lobotka,Slovakia,30,SSC Napoli,€28.00m,joueurs_images\Stanislav_Lobotka.jpg
Virgil van Dijk,Virgil van Dijk,"Netherlands, Suriname",33,Liverpool FC,€28.00m,joueurs_images\Virgil_van_Dijk.jpg
Mateo Kovacic,Mateo Kovacic,Croatia,30,Manchester City,€28.00m,joueurs_images\Mateo_Kovacic.jpg
Thiago Almada,Thiago Almada,Argentina,23,Olympique Lyon,€27.00m,joueurs_images\Thiago_Almada.jpg
Pepê,Pepê,"Brazil, Italy",27,FC Porto,€27.00m,joueurs_images\Pepê.jpg
Galeno,Galeno,"Brazil, Portugal",27,Al-Ahli SFC,€27.00m,joueurs_images\Galeno.jpg
Jørgen Strand Larsen,Jørgen Strand Larsen,Norway,25,Wolverhampton Wanderers,€27.00m,joueurs_images\Jørgen_Strand_Larsen.jpg
Trincão,Trincão,Portugal,25,Sporting CP,€27.00m,joueurs_images\Trincão.jpg
Frank Anguissa,Frank Anguissa,Cameroon,29,SSC Napoli,€27.00m,joueurs_images\Frank_Anguissa.jpg
Olivier Boscagli,Olivier Boscagli,"France, Monaco",27,PSV Eindhoven,€27.00m,joueurs_images\Olivier_Boscagli.jpg
Manu Koné,Manu Koné,"France, Cote d'Ivoire",23,AS Roma,€26.00m,joueurs_images\Manu_Koné.jpg
Pierre Kalulu,Pierre Kalulu,"France, DR Congo",24,Juventus FC,€26.00m,joueurs_images\Pierre_Kalulu.jpg
Ayyoub Bouaddi,Ayyoub Bouaddi,"France, Morocco",17,LOSC Lille,€25.00m,joueurs_images\Ayyoub_Bouaddi.jpg
Arthur Vermeeren,Arthur Vermeeren,Belgium,20,RB Leipzig,€25.00m,joueurs_images\Arthur_Vermeeren.jpg
Archie Gray,Archie Gray,"England, Scotland",18,Tottenham Hotspur,€25.00m,joueurs_images\Archie_Gray.jpg
Santiago Castro,Santiago Castro,Argentina,20,Bologna FC 1909,€25.00m,joueurs_images\Santiago_Castro.jpg
André,André,Brazil,23,Wolverhampton Wanderers,€25.00m,joueurs_images\André.jpg
Andrey Santos,Andrey Santos,Brazil,20,RC Strasbourg Alsace,€25.00m,joueurs_images\Andrey_Santos.jpg
Malick Fofana,Malick Fofana,"Belgium, Guinea",19,Olympique Lyon,€25.00m,joueurs_images\Malick_Fofana.jpg
Igor Thiago,Igor Thiago,"Brazil, Bulgaria",23,Brentford FC,€25.00m,joueurs_images\Igor_Thiago.jpg
Alberto Moleiro,Alberto Moleiro,"Spain, Cuba",21,UD Las Palmas,€25.00m,joueurs_images\Alberto_Moleiro.jpg
Tyrick Mitchell,Tyrick Mitchell,"England, Jamaica",25,Crystal Palace,€25.00m,joueurs_images\Tyrick_Mitchell.jpg
Loïc Badé,Loïc Badé,"France, Cote d'Ivoire",24,Sevilla FC,€25.00m,joueurs_images\Loïc_Badé.jpg
Lesley Ugochukwu,Lesley Ugochukwu,"France, Nigeria",20,Southampton FC,€25.00m,joueurs_images\Lesley_Ugochukwu.jpg
Brajan Gruda,Brajan Gruda,"Germany, Albania",20,Brighton & Hove Albion,€25.00m,joueurs_images\Brajan_Gruda.jpg
Samuel Lino,Samuel Lino,Brazil,25,Atlético de Madrid,€25.00m,joueurs_images\Samuel_Lino.jpg
Lewis Hall,Lewis Hall,England,20,Newcastle United,€25.00m,joueurs_images\Lewis_Hall.jpg
Oscar Bobb,Oscar Bobb,"Norway, The Gambia",21,Manchester City,€25.00m,joueurs_images\Oscar_Bobb.jpg
Elye Wahi,Elye Wahi,"France, Cote d'Ivoire",22,Eintracht Frankfurt,€25.00m,joueurs_images\Elye_Wahi.jpg
Wilfried Singo,Wilfried Singo,Cote d'Ivoire,24,AS Monaco,€25.00m,joueurs_images\Wilfried_Singo.jpg
Yan Couto,Yan Couto,"Brazil, Portugal",22,Borussia Dortmund,€25.00m,joueurs_images\Yan_Couto.jpg
Liam Delap,Liam Delap,"England, Ireland",22,Ipswich Town,€25.00m,joueurs_images\Liam_Delap.jpg
Leif Davis,Leif Davis,England,25,Ipswich Town,€25.00m,joueurs_images\Leif_Davis.jpg
Dwight McNeil,Dwight McNeil,"England, Jamaica",25,Everton FC,€25.00m,joueurs_images\Dwight_McNeil.jpg
Anthony Elanga,Anthony Elanga,"Sweden, Cameroon",22,Nottingham Forest,€25.00m,joueurs_images\Anthony_Elanga.jpg
Radu Drăgușin,Radu Drăgușin,Romania,23,Tottenham Hotspur,€25.00m,joueurs_images\Radu_Drăgușin.jpg
Bart Verbruggen,Bart Verbruggen,Netherlands,22,Brighton & Hove Albion,€25.00m,joueurs_images\Bart_Verbruggen.jpg
Anatoliy Trubin,Anatoliy Trubin,Ukraine,23,SL Benfica,€25.00m,joueurs_images\Anatoliy_Trubin.jpg
Amad Diallo,Amad Diallo,"Cote d'Ivoire, Italy",22,Manchester United,€25.00m,joueurs_images\Amad_Diallo.jpg
Nuno Tavares,Nuno Tavares,"Portugal, Cape Verde",25,SS Lazio,€25.00m,joueurs_images\Nuno_Tavares.jpg
Nicolò Rovella,Nicolò Rovella,Italy,23,SS Lazio,€25.00m,joueurs_images\Nicolò_Rovella.jpg
Miguel Gutiérrez,Miguel Gutiérrez,Spain,23,Girona FC,€25.00m,joueurs_images\Miguel_Gutiérrez.jpg
Federico Gatti,Federico Gatti,Italy,26,Juventus FC,€25.00m,joueurs_images\Federico_Gatti.jpg
Taylor Harwood-Bellis,Taylor Harwood-Bellis,England,23,Southampton FC,€25.00m,joueurs_images\Taylor_Harwood-Bellis.jpg
