Name,Age,Nationality,Last Club,Avg Points/Game,Profile URL
Paulo Pezzolano,,N/A,N/A,Paulo Pezzolano,https://www.transfermarkt.com/paulo-pezzolano/profil/trainer/50425
Luke Williams,,N/A,N/A,Luke Williams,https://www.transfermarkt.com/luke-williams/profil/trainer/32169
Eduardo Fentanes,,N/A,N/A,Eduardo Fentanes,https://www.transfermarkt.com/eduardo-fentanes/profil/trainer/15334
Juan Reynoso,,N/A,N/A,Juan Reynoso,https://www.transfermarkt.com/juan-reynoso/profil/trainer/9499
Gary Smith,,N/A,N/A,Gary Smith,https://www.transfermarkt.com/gary-smith/profil/trainer/7930
David Linarès,,N/A,N/A,David Linarès,https://www.transfermarkt.com/david-linares/profil/trainer/65906
Thomas Darazs,,N/A,N/A,Thomas Darazs,https://www.transfermarkt.com/thomas-darazs/profil/trainer/19851
Ladislau Bölöni,,N/A,N/A,Ladislau Bölöni,https://www.transfermarkt.com/ladislau-boloni/profil/trainer/1227
Vanni Sartini,,N/A,N/A,Vanni Sartini,https://www.transfermarkt.com/vanni-sartini/profil/trainer/95717
Josh Wolff,,N/A,N/A,Josh Wolff,https://www.transfermarkt.com/josh-wolff/profil/trainer/26914
Djibril Dramé,,N/A,N/A,Djibril Dramé,https://www.transfermarkt.com/djibril-drame/profil/trainer/33593
John Hackworth,,N/A,N/A,John Hackworth,https://www.transfermarkt.com/john-hackworth/profil/trainer/24421
Giovanni Savarese,,N/A,N/A,Giovanni Savarese,https://www.transfermarkt.com/giovanni-savarese/profil/trainer/20332
Jaroslav Hrebik,,N/A,N/A,Jaroslav Hrebik,https://www.transfermarkt.com/jaroslav-hrebik/profil/trainer/2085
Marcel Keizer,,N/A,N/A,Marcel Keizer,https://www.transfermarkt.com/marcel-keizer/profil/trainer/23940
Levent Sürme,,N/A,N/A,Levent Sürme,https://www.transfermarkt.com/levent-surme/profil/trainer/41165
Petar Vasiljevic,,N/A,N/A,Petar Vasiljevic,https://www.transfermarkt.com/petar-vasiljevic/profil/trainer/50914
Andrea Pirlo,,N/A,N/A,Andrea Pirlo,https://www.transfermarkt.com/andrea-pirlo/profil/trainer/62049
Foeke Booy,,N/A,N/A,Foeke Booy,https://www.transfermarkt.com/foeke-booy/profil/trainer/510
Arif Erdem,,N/A,N/A,Arif Erdem,https://www.transfermarkt.com/arif-erdem/profil/trainer/5079
Hernán Cristante,,N/A,N/A,Hernán Cristante,https://www.transfermarkt.com/hernan-cristante/profil/trainer/45455
Steven Gerrard,,N/A,N/A,Steven Gerrard,https://www.transfermarkt.com/steven-gerrard/profil/trainer/51276
Wayne Rooney,,N/A,N/A,Wayne Rooney,https://www.transfermarkt.com/wayne-rooney/profil/trainer/86680
Ryan Lowe,,N/A,N/A,Ryan Lowe,https://www.transfermarkt.com/ryan-lowe/profil/trainer/57137
Patrice Neveu,,N/A,N/A,Patrice Neveu,https://www.transfermarkt.com/patrice-neveu/profil/trainer/4156
Zeljko Sopic,,N/A,N/A,Zeljko Sopic,https://www.transfermarkt.com/zeljko-sopic/profil/trainer/36250
Raúl Wensel,,N/A,N/A,Raúl Wensel,https://www.transfermarkt.com/raul-wensel/profil/trainer/23237
Adrian Heath,,N/A,N/A,Adrian Heath,https://www.transfermarkt.com/adrian-heath/profil/trainer/3099
Rui Faria,,N/A,N/A,Rui Faria,https://www.transfermarkt.com/rui-faria/profil/trainer/1693
Eugenio Corini,,N/A,N/A,Eugenio Corini,https://www.transfermarkt.com/eugenio-corini/profil/trainer/14577
Ignacio Ambriz,,N/A,N/A,Ignacio Ambriz,https://www.transfermarkt.com/ignacio-ambriz/profil/trainer/12323
Mounir Lehbab,,N/A,N/A,Mounir Lehbab,https://www.transfermarkt.com/mounir-lehbab/profil/trainer/116766
Adrian Bumbescu,,N/A,N/A,Adrian Bumbescu,https://www.transfermarkt.com/adrian-bumbescu/profil/trainer/28967
Víctor Fernández,,N/A,N/A,Víctor Fernández,https://www.transfermarkt.com/victor-fernandez/profil/trainer/641
Matías Lequi,,N/A,N/A,Matías Lequi,https://www.transfermarkt.com/matias-lequi/profil/trainer/126784
Albert Nadj,,N/A,N/A,Albert Nadj,https://www.transfermarkt.com/albert-nadj/profil/trainer/29092
Igor Duljaj,,N/A,N/A,Igor Duljaj,https://www.transfermarkt.com/igor-duljaj/profil/trainer/41107
Paulo Turra,,N/A,N/A,Paulo Turra,https://www.transfermarkt.com/paulo-turra/profil/trainer/50891
Vedat İnceefe,,N/A,N/A,Vedat İnceefe,https://www.transfermarkt.com/vedat-inceefe/profil/trainer/17790
Billy Davies,,N/A,N/A,Billy Davies,https://www.transfermarkt.com/billy-davies/profil/trainer/1718
Paul Ince,,N/A,N/A,Paul Ince,https://www.transfermarkt.com/paul-ince/profil/trainer/4230
Tony Pulis,,N/A,N/A,Tony Pulis,https://www.transfermarkt.com/tony-pulis/profil/trainer/617
Mick McCarthy,,N/A,N/A,Mick McCarthy,https://www.transfermarkt.com/mick-mccarthy/profil/trainer/599
Walter Erviti,,N/A,N/A,Walter Erviti,https://www.transfermarkt.com/walter-erviti/profil/trainer/79822
Bernd Schuster,,N/A,N/A,Bernd Schuster,https://www.transfermarkt.com/bernd-schuster/profil/trainer/555
Daniel Brailovsky,,N/A,N/A,Daniel Brailovsky,https://www.transfermarkt.com/daniel-brailovsky/profil/trainer/5576
Aljosa Asanovic,,N/A,N/A,Aljosa Asanovic,https://www.transfermarkt.com/aljosa-asanovic/profil/trainer/9587
Beston Chambeshi,,N/A,N/A,Beston Chambeshi,https://www.transfermarkt.com/beston-chambeshi/profil/trainer/23401
Klavs Rasmussen,,N/A,N/A,Klavs Rasmussen,https://www.transfermarkt.com/klavs-rasmussen/profil/trainer/23263
Claude Le Roy,,N/A,N/A,Claude Le Roy,https://www.transfermarkt.com/claude-le-roy/profil/trainer/3868
Rob Valentino,,N/A,N/A,Rob Valentino,https://www.transfermarkt.com/rob-valentino/profil/trainer/53981
Jorge Bava,,N/A,N/A,Jorge Bava,https://www.transfermarkt.com/jorge-bava/profil/trainer/93501
Alan Curbishley,,N/A,N/A,Alan Curbishley,https://www.transfermarkt.com/alan-curbishley/profil/trainer/998
Heiko Vogel,,N/A,N/A,Heiko Vogel,https://www.transfermarkt.com/heiko-vogel/profil/trainer/5973
Manqoba Mngqithi,,N/A,N/A,Manqoba Mngqithi,https://www.transfermarkt.com/manqoba-mngqithi/profil/trainer/10010
Ljubinko Drulovic,,N/A,N/A,Ljubinko Drulovic,https://www.transfermarkt.com/ljubinko-drulovic/profil/trainer/6270
Paco López,,N/A,N/A,Paco López,https://www.transfermarkt.com/paco-lopez/profil/trainer/8115
Fernando Quirarte,,N/A,N/A,Fernando Quirarte,https://www.transfermarkt.com/fernando-quirarte/profil/trainer/21435
Gabriel Heinze,,N/A,N/A,Gabriel Heinze,https://www.transfermarkt.com/gabriel-heinze/profil/trainer/41111
Andrea Sottil,,N/A,N/A,Andrea Sottil,https://www.transfermarkt.com/andrea-sottil/profil/trainer/19718
Nigel Pearson,,N/A,N/A,Nigel Pearson,https://www.transfermarkt.com/nigel-pearson/profil/trainer/2676
Mahmoud Saleh,,N/A,N/A,Mahmoud Saleh,https://www.transfermarkt.com/mahmoud-saleh/profil/trainer/32862
Daniel Cousin,,N/A,N/A,Daniel Cousin,https://www.transfermarkt.com/daniel-cousin/profil/trainer/63637
Leonard Strizu,,N/A,N/A,Leonard Strizu,https://www.transfermarkt.com/leonard-strizu/profil/trainer/96110
Markus Gisdol,,N/A,N/A,Markus Gisdol,https://www.transfermarkt.com/markus-gisdol/profil/trainer/4849
Zdenek Scasny,,N/A,N/A,Zdenek Scasny,https://www.transfermarkt.com/zdenek-scasny/profil/trainer/1636
Aleksandar Stanojevic,,N/A,N/A,Aleksandar Stanojevic,https://www.transfermarkt.com/aleksandar-stanojevic/profil/trainer/4183
Mariusz Rumak,,N/A,N/A,Mariusz Rumak,https://www.transfermarkt.com/mariusz-rumak/profil/trainer/23173
Juan Cruz Real,,N/A,N/A,Juan Cruz Real,https://www.transfermarkt.com/juan-cruz-real/profil/trainer/42734
Dejan Petkovic,,N/A,N/A,Dejan Petkovic,https://www.transfermarkt.com/dejan-petkovic/profil/trainer/40746
Hugo Sánchez,,N/A,N/A,Hugo Sánchez,https://www.transfermarkt.com/hugo-sanchez/profil/trainer/2669
